Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Management,LP-1,10037,Epic,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,01/Apr/26 11:29 AM,01/Apr/26 11:41 AM,02/Apr/26 10:13 AM,,06/Apr/26 12:00 AM,0,User related Tasks ,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fe90d53,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i00013:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,01/Apr/26 11:29 AM
write test case for Sign Up Button,LP-32,10139,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:17 AM,02/Apr/26 10:17 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d15c442,,,,,,,,,,,,,,,,0|i0007z:,,,LP Sprint 1,,,,,,,,,,,,,10125,LP-25,Write functionality testcase for user registeration,To Do,02/Apr/26 10:17 AM
Write functionality testcase for user Login,LP-33,10140,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:18 AM,02/Apr/26 10:18 AM,02/Apr/26 10:18 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9f1d905,,,,,,,,,,,,,,,,0|i00087:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 10:18 AM
Write test case for Forgot Password Link,LP-35,10144,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:19 AM,02/Apr/26 10:19 AM,,,,0,Create a test case to verify the presence and functionality of the 'Forgot Password' link on the login page.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ffc873e,,,,,,,,,,,,,,,,0|i0008f:,,,LP Sprint 1,,,,,,,,,,,,,10140,LP-33,Write functionality testcase for user Login,To Do,02/Apr/26 10:19 AM
Write test case for Username/Email Field,LP-34,10145,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:19 AM,02/Apr/26 10:19 AM,,,,0,Create a test case to verify the functionality and validation of the username or email field in the login form.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a953bad,,,,,,,,,,,,,,,,0|i0008n:,,,LP Sprint 1,,,,,,,,,,,,,10140,LP-33,Write functionality testcase for user Login,To Do,02/Apr/26 10:19 AM
Write test case for Password Field,LP-36,10147,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:19 AM,02/Apr/26 10:19 AM,,,,0,Develop a test case to check the password field's input validation and masking in the login form.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@411279cb,,,,,,,,,,,,,,,,0|i0008v:,,,LP Sprint 1,,,,,,,,,,,,,10140,LP-33,Write functionality testcase for user Login,To Do,02/Apr/26 10:19 AM
Write test case for Login Button,LP-37,10148,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:19 AM,02/Apr/26 10:19 AM,,,,0,"Write a test case to ensure the login button functions correctly, including enabling/disabling based on input validity.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e9484b0,,,,,,,,,,,,,,,,0|i00093:,,,LP Sprint 1,,,,,,,,,,,,,10140,LP-33,Write functionality testcase for user Login,To Do,02/Apr/26 10:19 AM
Write functionality testcase for Social singup,LP-51,10173,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:46 AM,02/Apr/26 10:46 AM,02/Apr/26 10:47 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27d01917,,,,,,,,,,,,,,,,0|i0009b:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 10:46 AM
Write test case for Google authenticated signup,LP-52,10175,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:48 AM,02/Apr/26 10:48 AM,,,,0,Create a test case to verify that only authenticated Google accounts can be used for signup and that the OAuth flow is correctly enforced.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53613e90,,,,,,,,,,,,,,,,0|i0009j:,,,LP Sprint 1,,,,,,,,,,,,,10173,LP-51,Write functionality testcase for Social singup,To Do,02/Apr/26 10:48 AM
Write test case for auto profile creation on first social login,LP-53,10177,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:48 AM,02/Apr/26 10:48 AM,,,,0,Write a test case to confirm that a new user profile is automatically created upon the first successful social login via Google or Facebook.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6b5618c6,,,,,,,,,,,,,,,,0|i0009r:,,,LP Sprint 1,,,,,,,,,,,,,10173,LP-51,Write functionality testcase for Social singup,To Do,02/Apr/26 10:48 AM
Write test case for duplicate account detection during social signup,LP-54,10179,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:48 AM,02/Apr/26 10:48 AM,,,,0,"Create a test case to verify that if a user attempts to sign up with a social account already linked to an existing profile, the system displays an 'Account already exists' message and prevents duplicate account creation.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3df3c6c4,,,,,,,,,,,,,,,,0|i0009z:,,,LP Sprint 1,,,,,,,,,,,,,10173,LP-51,Write functionality testcase for Social singup,To Do,02/Apr/26 10:48 AM
Write test case for Facebook authenticated signup,LP-55,10181,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:48 AM,02/Apr/26 10:48 AM,,,,0,Develop a test case to ensure that only authenticated Facebook accounts are allowed for signup and that the OAuth process is properly handled.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66b87994,,,,,,,,,,,,,,,,0|i000a7:,,,LP Sprint 1,,,,,,,,,,,,,10173,LP-51,Write functionality testcase for Social singup,To Do,02/Apr/26 10:48 AM
Write functionality testcase for uer login using mobile number,LP-56,10182,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:50 AM,02/Apr/26 10:50 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3ce47bf0,,,,,,,,,,,,,,,,0|i000af:,,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 10:50 AM
Write functionality testcase for user login using mobile number,LP-57,10183,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:51 AM,02/Apr/26 10:52 AM,02/Apr/26 10:52 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3cd04168,,,,,,,,,,,,,,,,0|i000an:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 10:51 AM
Write test cases for login button,LP-58,10185,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:53 AM,02/Apr/26 10:54 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@400340ab,,,,,,,,,,,,,,,,0|i000av:,,,LP Sprint 1,,,,,,,,,,,,,10183,LP-57,Write functionality testcase for user login using mobile number,To Do,02/Apr/26 10:53 AM
Write test case for Mobile Number Field Validation,LP-59,10189,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:53 AM,02/Apr/26 10:53 AM,,,,0,"Create a test case to verify that the mobile number field only accepts 10-digit numeric input, cannot be left blank, and displays 'Number not found' for unregistered numbers.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@67bcf11d,,,,,,,,,,,,,,,,0|i000b3:,,,LP Sprint 1,,,,,,,,,,,,,10183,LP-57,Write functionality testcase for user login using mobile number,To Do,02/Apr/26 10:53 AM
Write test case for Password Field Validation,LP-60,10190,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:53 AM,02/Apr/26 10:53 AM,,,,0,Write a test case to confirm that the password field cannot be left blank and displays 'Incorrect password' when an incorrect password is entered.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37122cac,,,,,,,,,,,,,,,,0|i000bb:,,,LP Sprint 1,,,,,,,,,,,,,10183,LP-57,Write functionality testcase for user login using mobile number,To Do,02/Apr/26 10:53 AM
Write test case for Email Field Validation,LP-61,10191,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:53 AM,02/Apr/26 10:53 AM,,,,0,"Develop a test case to ensure the email field follows the same validation as registration, cannot be blank, and displays 'Email not found' for unregistered emails.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fb675d0,,,,,,,,,,,,,,,,0|i000bj:,,,LP Sprint 1,,,,,,,,,,,,,10183,LP-57,Write functionality testcase for user login using mobile number,To Do,02/Apr/26 10:53 AM
Write test cases for forgot password link,LP-62,10193,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 10:54 AM,02/Apr/26 10:54 AM,,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3ae7db6b,,,,,,,,,,,,,,,,0|i000br:,,,LP Sprint 1,,,,,,,,,,,,,10183,LP-57,Write functionality testcase for user login using mobile number,To Do,02/Apr/26 10:54 AM
Write functionality testcase for user dashboard,LP-63,10194,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:02 AM,02/Apr/26 11:02 AM,02/Apr/26 11:02 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25431c3c,,,,,,,,,,,,,,,,0|i000bz:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:02 AM
Write test case for post-login dashboard redirection,LP-64,10196,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:24 AM,02/Apr/26 11:24 AM,,,,0,"Verify that after a successful login, the user is redirected to the dashboard page.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ba6d2fd,,,,,,,,,,,,,,,,0|i000c7:,,,LP Sprint 1,,,,,,,,,,,,,10194,LP-63,Write functionality testcase for user dashboard,To Do,02/Apr/26 11:24 AM
Write test case for session maintenance until logout,LP-65,10198,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:24 AM,02/Apr/26 11:24 AM,,,,0,Ensure that the user session is maintained and the user remains logged in until they explicitly log out.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@e35cd03,,,,,,,,,,,,,,,,0|i000cf:,,,LP Sprint 1,,,,,,,,,,,,,10194,LP-63,Write functionality testcase for user dashboard,To Do,02/Apr/26 11:24 AM
Write test case for auto-suggestions in search bar,LP-66,10201,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:24 AM,02/Apr/26 11:24 AM,,,,0,Ensure that auto-suggestions appear in the search bar when the user enters at least 2 characters.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23a9d702,,,,,,,,,,,,,,,,0|i000cn:,,,LP Sprint 1,,,,,,,,,,,,,10194,LP-63,Write functionality testcase for user dashboard,To Do,02/Apr/26 11:24 AM
Write test case for minimum character requirement in search bar,LP-67,10203,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:24 AM,02/Apr/26 11:24 AM,,,,0,Verify that the search bar requires a minimum of 2 characters before triggering a search or showing suggestions.,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@578e897,,,,,,,,,,,,,,,,0|i000cv:,,,LP Sprint 1,,,,,,,,,,,,,10194,LP-63,Write functionality testcase for user dashboard,To Do,02/Apr/26 11:24 AM
Write test case for session expiry and redirection to login,LP-68,10206,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:24 AM,02/Apr/26 11:24 AM,,,,0,"Test that when the session expires, the user is redirected to the login page.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6298da3b,,,,,,,,,,,,,,,,0|i000d3:,,,LP Sprint 1,,,,,,,,,,,,,10194,LP-63,Write functionality testcase for user dashboard,To Do,02/Apr/26 11:24 AM
Write test case for 'No courses found' message in search bar,LP-69,10207,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:24 AM,02/Apr/26 11:24 AM,,,,0,"Test that when no results are found for a search query, the message 'No courses found' is displayed in the search bar suggestions.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@332a95a6,,,,,,,,,,,,,,,,0|i000db:,,,LP Sprint 1,,,,,,,,,,,,,10194,LP-63,Write functionality testcase for user dashboard,To Do,02/Apr/26 11:24 AM
Write test case for search bar placeholder text,LP-70,10208,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:24 AM,02/Apr/26 11:24 AM,,,,0,"Check that the search bar in the header section displays the placeholder text: 'Search courses, topics…'.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16d81f6b,,,,,,,,,,,,,,,,0|i000dj:,,,LP Sprint 1,,,,,,,,,,,,,10194,LP-63,Write functionality testcase for user dashboard,To Do,02/Apr/26 11:25 AM
Write test cases for profile dropdown icon of user,LP-71,10210,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:25 AM,02/Apr/26 11:25 AM,02/Apr/26 11:25 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27a2eac6,,,,,,,,,,,,,,,,0|i000dr:,,,LP Sprint 1,,,,,,,,,,,,,10194,LP-63,Write functionality testcase for user dashboard,To Do,02/Apr/26 11:25 AM
Write functionality testcase for user profile management,LP-72,10211,Task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:27 AM,02/Apr/26 11:27 AM,02/Apr/26 11:27 AM,,,0,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@19aa9832,,,,,,,,,,,,,,,,0|i000dz:,,,LP Sprint 1,,,,,,,,,,,,,,,,To Do,02/Apr/26 11:27 AM
Write test case for Change Password - Current Password validation,LP-74,10218,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:27 AM,02/Apr/26 11:27 AM,,,,0,"Develop test cases to verify that the current password is required when changing the password, and that an in-line error message is displayed if the current password is incorrect.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5cd2e3c2,,,,,,,,,,,,,,,,0|i000e7:,,,LP Sprint 1,,,,,,,,,,,,,10211,LP-72,Write functionality testcase for user profile management,To Do,02/Apr/26 11:27 AM
Write test case for Full Name validation in profile management,LP-73,10217,Sub-task,To Do,LP,LEARNING_PROJECT,software,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,Medium,,,,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,02/Apr/26 11:27 AM,02/Apr/26 11:27 AM,,,,0,"Develop test cases to ensure the Full Name field in user profile management follows the same validation rules as in registration, including required field and format checks.",,puneet Thapliyal,712020:de6c3fa2-6a72-4070-943e-06b62f855ce5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e2decca,,,,,,,,,,,,,,,,0|i000ef:,,,LP Sprint 1,,,,,,,,,,,,,10211,LP-72,Write functionality testcase for user profile management,To Do,02/Apr/26 11:27 AM
